Rank	Team	Elo (initial 25)
83	TORC (2137)	2278.865938900167
84	Miss Daisy (341)	2276.8019669526634
85	Bionic Eagles (5279)	2275.7703489586165
86	Flaming Chickens (1540)	2272.689862937217
87	Columbus Space Program (4188)	2263.560532140005
88	Bobcat Robotics (177)	2262.436759744463
89	Chop Shop (166)	2259.789257644407
90	Denfeld DNA Robotics (4009)	2257.2253815285953
91	Strike Zone (5460)	2256.5690968033086
92	Bearbotics (2439)	2255.888358669372
93	B.O.B. (Built on Brains) (85)	2250.2259645742547
94	Peddie School Robotics (5895)	2249.614103193871
95	WiredCats (2415)	2247.4702805143006
96	SPARX (1126)	2244.9161120606955
97	Team R.O.B.O.T.I.C.S. (107)	2244.4975695533353
98	Elm City Robo Squad (558)	2243.3112555445564
99	Gaelhawks (230)	2238.202730526224
100	Ice Cubed (1305)	2236.330883332058
101	Mechanical Mustangs (3314)	2229.7447962439396
102	TriSonics (4003)	2223.0989100001825
103	Super NURDs (3255)	2222.235454865547
104	Superior Robotics (3321)	2220.415065642813
105	Ignition (6086)	2211.761248849158
106	RoboHawks (346)	2208.7900455061954
107	Beachbotics (1876)	2208.705401305172
108	Fenix (4947)	2207.490364783048
109	Lightning Bots (5331)	2206.687775443465
110	Average Joes (3620)	2206.1275276418187
111	TechHOUNDS (868)	2205.986112059208
112	RoHawks (3419)	2204.628306567217
113	Bit Buckets (4183)	2203.5468981849776
114	Shockwave (4488)	2202.6821607876727
115	PVC Pirates (1058)	2202.6509469027583
116	Miracle Workerz (365)	2200.0888958575674
117	General Angels (2230)	2196.728743204255
118	Goon Squad (3604)	2195.8360760434402
119	Gael Force (126)	2193.18760340183
120	Roborioles (4103)	2191.8335501619226
121	The Beak Squad (4028)	2187.0275062744745
122	UPS (Ultimate Protection Squad) (1675)	2185.191258312628
123	The Holy Cows (1538)	2182.9731578998744
124	Up-A-Creek Robotics (1619)	2182.2572602170294
125	TorBots (1197)	2170.045707931061
126	HVA RoHAWKtics (3824)	2168.9847331106607
127	Floyd (287)	2167.0673165142794
128	Blue Cheese (1086)	2166.7019108033805
129	Frog Force (503)	2166.484367503078
130	The MilkenKnights (1836)	2165.2051029933546
131	MadTown Robotics (1323)	2161.210480258775
132	Thunder Robotics (876)	2159.612671698771
133	Falcon Robotics (842)	2157.2808797056296
134	RoboCats (379)	2157.1768572822757
135	PrototypeX (3230)	2156.4530508993007
136	RoboRavens2  (3548)	2152.9874001807016
137	Phantom Catz (2637)	2151.0503846523616
138	MORT Beta (193)	2150.9736169433154
139	SciBorgs (4061)	2150.2126799839552
140	Celt-X (5406)	2149.1040301750777
141	Channel Cats (1094)	2146.728452424394
142	Robot Casserole (1736)	2146.639917532948
143	AIR STRIKE (78)	2144.9858608845266
144	First Year Ravens (3166)	2144.479359742797
145	A.R.T. (5546)	2142.2472961057465
146	Ranger Robotics (3015)	2140.6116389369117
147	Bronc Botz (3481)	2138.849239462692
148	COMETS (3357)	2137.921140780307
149	Buzz Robotics (175)	2137.31426259654
150	House of Ulladulla (6035)	2131.5715845423692
151	LamBot (3478)	2130.513505497558
152	East Grand Rapids Robotics (5980)	2128.368746205452
153	NASA Knights (122)	2127.7969011476
154	Andromeda One (4905)	2127.213622353956
155	R.U.R. (5996)	2125.4684793934352
156	The All Sparks (2848)	2124.6088036862466
157	That ONE Team (4967)	2123.149610320045
158	Fresta Valley Robotics Club (1731)	2120.2303859274184
159	The Pink Team (233)	2116.9992369298484
160	Project Bucephalus (5985)	2115.1316288076114
161	ROBOTZ Garage (4451)	2114.6249312900773
162	The Moose (1065)	2112.9952239529257
163	Wildbots (3329)	2112.6323319786065
164	Issaquah Robotics Society (1318)	2109.243550757338
165	BotCats (3653)	2108.9139978640333
166	Supertronix (5910)	2108.5971588909524
167	MEGIDDO LIONS (5038)	2108.434804120658
168	House of Cards (3534)	2107.9806974112903
169	Copperhead Robotics (401)	2105.3942914268964
170	Mystery Machine (6175)	2103.5505968774314
171	The Fighting Pi (1718)	2103.0830753826867
172	Landsharks (1157)	2102.5632876359623
173	Istech Robotic Society (5993)	2102.261691212355
174	Runnymede Robotics (1310)	2101.0672037508366
175	BraveBots (4391)	2098.8600810974262
176	NewRo Bots (5202)	2097.694994639303
177	Buc'n'Gears (3546)	2095.6897635373525
178	Ground Control (5663)	2095.1821183249194
179	Children of the Corn (167)	2095.0450647423568
180	The Fighting Calculators (2175)	2094.2807502940277
181	TECBOT (3158)	2093.9045185178147
182	More Martians (70)	2093.2986312885473
183	Ubotics (3507)	2093.048088724128
184	PLS (5618)	2091.2698287750704
185	StuyPulse (694)	2090.6606295771076
186	GRA Roarin' Robotics (6225)	2088.8671628618013
187	Tigerbytes (1775)	2088.4211131867733
188	Cyberian Tigers (5099)	2088.042897345967
189	Keybot-HGO (5716)	2087.7572421503182
190	Demons (858)	2084.841860110012
191	High Voltage (369)	2083.8539214663188
192	M.A. Robotics (5951)	2082.8042742781968
193	Code Red Robotics (639)	2078.8109860469644
194	Team Krunch (79)	2070.489181204088
195	TriKzR4Kidz (4063)	2070.2889983487794
196	CyberKnights (4911)	2069.997480848253
197	CC Automationeers (5448)	2069.8769827887986
198	Electric Mayhem (4930)	2067.996667718218
199	The Flying Toasters (3641)	2064.351314941804
200	Fernbank LINKS (4468)	2063.9389061622237
201	Chicken Bot Pie (3082)	2061.7296179400983
202	SpartanDroids (5631)	2061.506460673237
203	CocoNuts (2486)	2058.8187423952886
204	Thorobotics (6166)	2058.397316010533
205	Hot Rocks (1056)	2055.182199798037
206	Fondy Fire (2194)	2052.2509179419485
207	The Y Team (3211)	2052.0647785580104
208	Cruisin' Crusaders (238)	2051.8206286858945
209	Lady Cans (2881)	2051.4030266717155
210	Engineers of Tomorrow  (2783)	2050.8574683183415
211	Apophis (5006)	2050.314693719467
212	Apex Robotics (5803)	2050.050633646802
213	Rebels (2702)	2049.8804058185506
214	MMRambotics (2200)	2046.5254405670696
215	Big Bad Bob (319)	2045.9739075196458
216	Mecha Makos (5819)	2041.7465245748344
217	Wildcat Robotics (3039)	2041.0031590302858
218	Galaktech Invaders (3535)	2040.3928452828532
219	Siege Robotics (456)	2036.4666955644843
220	Gems (4362)	2036.2652411451181
221	Simbotics (1114)	2036.0540717576273
222	Falcon Robotics (5434)	2035.2047971135921
223	Warrior Robotics (2503)	2032.2938728241961
224	Petoskey Paladins (3618)	2029.3821841009262
225	Titan Robotics (5431)	2028.6156281708775
226	Iron Kodiaks (5137)	2028.5687541300267
227	Robo Sapiens (5699)	2021.6865936236557
228	Kentucky Wildbots (3844)	2021.4957773870703
229	RoboPOP (3802)	2019.8963622971942
230	TEXPLOSION (2789)	2018.4848096037163
231	Rolling Thunder (1511)	2018.4625936026212
232	C.H.A.O.S. (131)	2018.4373256630315
233	YETI Robotics (3506)	2016.9305768529498
234	Brute Force (2240)	2016.2888479573073
235	igKnightion (4021)	2014.313603645812
236	MARS (2614)	2013.1190555070698
237	ABTOMAT (3480)	2012.489405637149
238	Delphi E.L.I.T.E. (48)	2012.4137228095587
239	CRUSH (1011)	2011.020271026789
240	Mohawks (329)	2009.9178839725548
241	Team Chaos (1421)	2008.51183064215
242	The Da Vinci Coders (5510)	2007.6611404318278
243	Flagship (3140)	2007.6511567796636
244	RoboJackets (3538)	2006.6776009882844
245	Tiki Techs (3880)	2006.6409720855572
246	HIGH TEKERZ (3574)	2006.4881589103225
247	GreengineerZ (3452)	2005.475543788092
248	Apple Pi (2067)	2003.0958475457287
249	JudgeMent Call (5933)	2002.7729783760362
250	Team Mean Machine (2471)	2002.5685056142966
251	Bear Metal (2046)	1999.3933095183966
252	Pan-Tech (3872)	1998.7121019840345
253	Finney Falcons (1405)	1997.8728802448197
254	RoboClovers (5132)	1997.0971022507476
255	Team Resistance (86)	1996.310679660376
256	Spartiates (3544)	1996.2428590329364
257	CRHS RoboCats (5775)	1995.9050780652196
258	Petchey Robotics Team  (5781)	1995.8779170084854
259	Harrison Boiler Robotics (1747)	1995.6095609948434
260	Cybergnomes (2013)	1995.5404207674044
261	Robo-Rams (256)	1994.986044407688
262	Robotichauns (2393)	1994.5589448092371
263	Olympus Robotics (4982)	1994.3919903625558
264	Stormbots (4778)	1993.5944738889134
265	ausTIN CANs (2158)	1993.589307176648
266	Udder Chaos (5240)	1989.567053966849
267	Bots of War (4290)	1988.9237496759122
268	Stellar Robotics (5413)	1986.7845550544546
269	Duncan Dynamics (3970)	1986.6924529101775
270	WildStang (111)	1986.0177359866118
271	Thunder Down Under (3132)	1985.983099345731
272	Team Fusion (364)	1985.5977224780265
273	Control Freaks (5735)	1985.4386329110205
274	Gators (2144)	1985.4357602369248
275	Rocky Balboabots (5437)	1982.8639215351473
276	Pitt Pirates (2642)	1981.9630726234627
277	RoboWarriors (41)	1979.9790751133037
278	PowerCord (869)	1979.4783348405936
279	DiscoBots (2587)	1979.1410704767488
280	Cadillac Connectors (5086)	1978.5063079224149
281	GET SMART (3556)	1977.8913652274762
282	Cobra Commanders (498)	1977.8712354501188
283	Thunderbolts (2630)	1977.2395226429776
284	Chargers (5160)	1975.2709230154023
285	Surf City Vikings (4276)	1974.4630582965603
286	Duluth East Daredevils (2512)	1974.3838488623255
287	Triple Strange (1533)	1974.0803516402989
288	Bionic Bulldogs (60)	1973.956839043756
289	Rocket Sauce (1137)	1973.9528897632638
290	Manning Robotics (4627)	1972.4635638332566
291	Garrett Coalition (GaCo) (1629)	1970.5287284673368
292	FireBears (2846)	1969.3842738954165
293	Tech-No-Tigers (3102)	1969.0704474464233
294	Friarbots (3309)	1968.6472596755298
295	Winnovation (1625)	1968.3398578275514
296	CIA Robotics ONE (4356)	1968.231950413107
297	Olympia Robotics Federation (4450)	1968.1619121042572
298	Los STEMateros (5802)	1967.0509168272752
299	The Foley Freeze (910)	1966.623676328777
300	Up Next (3528)	1964.6135241976153
301	Adambots (245)	1964.177779741116
302	Robotronix (3550)	1963.839776284554
303	The Revolution (360)	1963.6349580400313
304	iBots (2370)	1961.4039318684559
305	Global Dynamics (4026)	1960.1524671285913
306	Texas Torque (1477)	1959.6971857608808
307	Robo-Rebels (1153)	1959.2349796442143
308	Man O' War Robotics (5236)	1958.3419241571073
309	Bots of Prey (5931)	1957.9857155488608
310	Talon Robotics (2502)	1957.6836123060634
311	Butler Bots (4664)	1957.4350198491668
312	Kingsmen (5736)	1957.1155433420322
313	Minerbotics (4827)	1955.7938524717836
314	Mech Warriors (573)	1955.0768723863143
315	Edwardsville Technologies (4931)	1954.552476119559
316	MORE Robotics (1714)	1954.324429815411
317	HorsePOWER (3172)	1953.826924277224
318	My Favorite Team (3024)	1952.9847204387445
319	Cougar Robotics (623)	1952.2298178740298
320	Team ASAP  (4646)	1951.929285450832
321	Iron Patriots (4131)	1950.391371397132
322	Canine Crusaders (4980)	1950.2841282105367
323	Titanium Tigers (5114)	1948.9395421210213
324	Millennium Falcons (4959)	1948.927268687389
325	Blue Springs Robocats (1785)	1948.853553373562
326	System Meltdown (2357)	1948.821948232548
327	Royal Robotics (2522)	1948.781706563351
328	ALPHA DOGS (4946)	1948.0403444455087
329	Chilean Heart (2576)	1947.7711400190778
330	V2 Robotics (5505)	1947.6294422597466
331	Argos (1756)	1947.066315767791
332	MinuteBots (4536)	1946.2522227180996
333	R.U.S.T (2225)	1944.745562167186
334	SubZero Robotics (5690)	1944.251079345772
335	Triple Helix (2363)	1943.9464400485529
336	Parallel Universe (1257)	1941.7589235356177
337	DiscoTechs (1099)	1941.7055251525487
338	TroBots (3668)	1940.8493102238967
339	Team SCREAM (4522)	1939.7392530402576
340	Out of Orbit Robotics (2449)	1938.7425815529814
341	Hyperion (3360)	1938.5295498912365
342	The Herd (4818)	1938.108054597643
343	the STAGS (1262)	1937.3752492044139
344	Robostangs (548)	1935.8110984910743
345	Tech Fusion (279)	1935.247435354282
346	Sab-BOT-age (1640)	1933.7724322578692
347	Gompei and the H.E.R.D. (190)	1932.5984107998493
348	Wave Robotics (2826)	1932.2994808473097
349	Byting Bulldogs (3539)	1931.0872072907846
350	Chill Out (1778)	1930.1055195579352
351	R.O.B.B.E. (56)	1929.4538623754204
352	Psi Factor (5548)	1929.3556535995704
353	TEAM  R. I. C. E.   (870)	1928.1107228421408
354	Huntington Robotics (5016)	1927.664495759855
355	4-H Electrotechs (3954)	1925.3326192642608
356	Spartronics (5048)	1925.0877453390813
357	Team Voltage (386)	1923.2242145545808
358	Rushing Peacock (5445)	1923.162109239102
359	NRG4055 (4055)	1923.1134437408732
360	Rectify (5209)	1922.3243282770654
361	Full Metal Jackets (4462)	1920.590756044454
362	Plowbots (3366)	1920.2673866321704
363	Full Metal Jackets (1296)	1920.0658903963028
364	DOC BOTICS (6110)	1919.750116031003
365	Bovine Intervention (686)	1919.4658894837935
366	Techno Wolves (5518)	1918.9579854682493
367	Kilroy Robotics (339)	1918.432196511906
368	MacBotics (3457)	1916.8773784699301
369	Cobalt Catalysts (3042)	1915.4027802771893
370	West Torrance Robotics (5124)	1914.926829895044
371	Broncobots (1987)	1914.1552732627003
372	Sequim Robotics Federation ''SRF''  (3826)	1913.403398626737
373	The  Agency (3021)	1913.2082690529164
374	The Second Mouse (5030)	1913.1182539044987
375	ABSOLUTE (4308)	1912.056785575096
376	Robo Chiefs (1768)	1911.808060185102
377	Underdogs (6067)	1910.2972013222548
378	Roarbotics (5482)	1907.5376954225892
379	Skrappy's Zoo (1413)	1907.3813703693868
380	Blue Whales (5839)	1906.4427823946073
381	SHARP (3260)	1906.3613909120313
382	CV Robotics (955)	1906.3220194268372
383	Lassiter Robotics (5608)	1905.1246012576776
384	TOOLCATS (3276)	1904.7491055670835
385	R-cubed  - Red Raider Robotics (578)	1902.620700359388
386	The Red Hot Chili Bots (4453)	1902.0198409780592
387	The Deceivers (4392)	1901.7060660804088
388	BlitzCreek (3770)	1901.2730233777263
389	Metal Mayhem (2352)	1901.0291578658941
390	Aces High (176)	1897.8539637283961
391	Open Circuits (5271)	1896.5615999911279
392	Bluejacket Robotics (5464)	1896.2377668664972
393	Mech Tech Dragons  (422)	1895.8096059067698
394	Team Driven (1730)	1895.40295848434
395	Barker Redbacks (4613)	1894.8503537380413
396	Neat Team (1943)	1894.4002859749812
397	Leopards (57)	1894.127427935996
398	Wee Waa (6050)	1893.8117597484097
399	GUS Robotics (228)	1892.2477494601271
400	Team STEAM (5119)	1891.7866405872799
401	The Flying Platypi (2655)	1891.309998748679
402	Stag Robotics (1997)	1891.2124283398077
403	Westside Boiler Invasion (461)	1890.3434898798926
404	METALCRAFTERS (207)	1890.2834726389817
405	 Leones Francés  (4603)	1890.0672193923635
406	ROULT (4403)	1889.890495289472
407	UberBots (1124)	1889.6712935929027
408	ICE (3038)	1887.6201606483044
409	Cyber Blue (234)	1885.7050057928664
410	SOTAbots  (2557)	1885.649287718893
411	The Juggernauts (1)	1885.306425389218
412	Optimus PRIN (5326)	1884.9068008128936
413	RAVEN Robotics (1288)	1884.8532978791159
414	Purple Vipers (3355)	1884.6442004233486
415	Spartatroniks (3512)	1884.2703274529067
416	The Captains (3098)	1884.1906908847623
417	CSI Golden Eagle Robotics (5489)	1883.7706272907087
418	Sonic Squirrels (2930)	1882.2887341243097
419	Team 4814 WE FIRST Incubator (4814)	1881.9851481856763
420	TerrorBytes (4561)	1880.9253280827793
421	BULLSEYE (4984)	1880.1431702094392
422	Hatters Robotics (708)	1879.106394425641
423	Plasma Robotics (2403)	1879.056103642198
424	Granville Robo Aces (4283)	1878.9207314369291
425	Millerbots (2549)	1878.341945426373
426	Eagle Bots (3743)	1876.3328269058936
427	Dreadbots (3656)	1875.5092857533461
428	Metal-In-Motion (343)	1875.4991232380778
429	Spectrum (3847)	1875.4193263869179
430	Sir Lancerbot (4917)	1875.0681893320675
431	Panteras (2283)	1873.1966253844546
432	Grizzly Robotics Team (295)	1872.484153104083
433	Steel Talons or Tompkins Robotics (5427)	1872.4688624822627
434	St. Joseph Academy Flashes (5753)	1871.8073090423738
435	Direct Current (2095)	1871.5986516056028
436	bIrobot (6098)	1871.3786761823278
437	CETMOV (4401)	1871.280153425982
438	The Mechanical Bulls (810)	1870.2555550867785
439	Wolverines (5274)	1869.7916076946199
440	Tigerbots (2183)	1869.650932943978
441	MORT (11)	1869.5852237914432
442	Vikings (4121)	1869.1576359835426
443	Gobles Voltage (5194)	1868.0258290020406
444	Lakers (5053)	1866.737191970387
445	Nuts & Colts (4404)	1865.7053615272998
446	The Resistance (5230)	1865.5970465194805
447	Metal Jackets (2068)	1865.1354172381502
448	BP Robotics (6022)	1864.759687970834
449	Haltom Robotics (6133)	1863.8337503867467
450	Buchanan Bird Brains (1671)	1862.946669817199
451	The Monsters (308)	1861.3779832984062
452	TigerTronics (2053)	1860.9777941840728
453	Hamosad (1657)	1860.904996671741
454	Narrabri High School (6187)	1859.9452127228578
455	CIPHER 5874 (5874)	1859.1833204920933
456	RoboVikes (701)	1859.023872767109
457	the Talon (3588)	1858.997939882712
458	NACI Robotics (2935)	1858.9730650540557
459	MisCar (1574)	1858.3526266066224
460	The O-Bots (5710)	1858.1144725828842
461	Cold Logic (3617)	1857.8160545596413
462	ESM Robotics (4669)	1857.5873305056923
463	MARS/ WARS (4143)	1857.3970321307536
464	Marsden High School (5087)	1855.7642423827383
465	Team Hammond (71)	1855.5213885738854
466	Northern Force (172)	1855.4299909716954
467	ThorBots (5903)	1855.386324004971
468	SistamatiK (5583)	1855.3821208277022
469	Blue Thunder (2443)	1854.6316296852276
470	Knight Riders (5115)	1854.5830593540063
471	Rusty Knights (5146)	1854.5074990573953
472	T-Birds  (3137)	1853.989624281909
473	Circuit Breakers (696)	1853.5744203080908
474	Kennedy Robotics (3250)	1853.3361269441752
475	Bad Robots (1014)	1853.27021261855
476	Riviera Robotics (5818)	1853.0115856825628
477	The Toppers (3984)	1852.9369783266552
478	Cyberhawks (706)	1852.919966664413
479	Fabricators (5166)	1851.066717102371
480	Blue Collar Bruisers (5855)	1849.6584000829916
481	Bionic Tigers (1592)	1849.421689424518
482	ILITE Robotics (1885)	1848.6283039161349
483	The Legend of Robotics (6193)	1848.5658604681516
484	Raydernators (4376)	1848.4766817920854
485	Vandals (6221)	1847.5914016407435
486	TORCH (5804)	1846.7673701519282
487	Chimeras  (1684)	1845.9425950652867
488	Bullbots (1891)	1845.634813556062
489	MechaRAMS (999)	1845.3383672643527
490	Lobotics (5312)	1845.170546418357
491	Inverse Paradox (1325)	1843.9543579524325
492	Chickadees (5871)	1842.9033413711581
493	Top Hat Technicians (4014)	1842.7925371514216
494	CPR - Cedar Park Robotics (3663)	1842.0809309538815
495	RoboKAP (2445)	1839.8410930017694
496	Rebels (4976)	1839.5456553008323
497	JackBotics (5222)	1839.361995823903
498	Robot Dolphins From Outer Space (5199)	1838.6766196811423
499	ARTEMIS (5876)	1838.6681839758783
500	Mechanical Monarchy (5442)	1835.7108117917173
501	RamTech (59)	1835.3363757083807
502	Data Bits (3883)	1834.8752570890153
503	Eagle Robotics (399)	1834.8026894995403
504	Davinci Dragon Army (3241)	1833.3766078814201
505	Hammer Heads (1572)	1832.2650211541165
506	RoboLobos (2359)	1831.6678018802033
507	EngiNERDs (2337)	1831.5359531874037
508	Can't C# (5333)	1830.4681005826944
509	Electro Eagles (3536)	1829.8498004678515
510	Nerdvana (4769)	1829.6893797343469
511	Rock Solid Robotics (4656)	1829.3705999512051
512	LakerBots (5085)	1829.351316900167
513	Brighton TechnoDogs (3707)	1828.8165735075925
514	SMbly Required (5805)	1827.3956248361062
515	The METAL MOOSE (1391)	1826.9802878956223
516	Rambots (4571)	1825.6733324297243
517	Vulcan Robotics (1218)	1825.00366256513
518	SRNJRambotics (4573)	1824.7430406011952
519	Nuts n Boltz (2882)	1824.7242635235402
520	Crusader Bots (2374)	1824.6301934875405
521	Xcentrics (2340)	1824.4731577310197
522	CHUCK (2147)	1824.0804540139131
523	Benzene Bots (4384)	1823.5339906219094
524	RoboMos (3602)	1822.967129522938
525	McDonogh Eagle Robotics (4505)	1822.576738629272
526	Red Storm Robotics (3875)	1822.0437272632505
527	Team Terminator (5576)	1821.1386674176542
528	Ghost in the Machine (2805)	1820.0190134153515
529	Mukwonago BEARs (930)	1818.125848656184
530	Aluminum Falcons (2168)	1816.923925693026
531	Les Cactus (4007)	1816.9116485897837
532	Punchers (3288)	1816.6379930575067
533	Robo-Blazers (6126)	1815.8276179417899
534	Fresh T.E.C.H. (4242)	1814.7816770498143
535	Boyne City Blaze (4377)	1814.5948039131777
536	Saints Bot (4688)	1814.5716602077403
537	WiredCats (5675)	1814.292689501675
538	Robotarians (2959)	1813.5555229812471
539	Bot-Provoking (4904)	1812.9371991475475
540	Circuit Breakers (6044)	1812.6935612070129
541	Team - Cosmos (123)	1812.6639637643898
542	The Pascack PI-oneers (1676)	1812.3051433425342
543	Houston County Alliance (3635)	1812.2117029329127
544	BearBotics (2498)	1812.180354180677
545	The Panther Project (2064)	1812.052808684223
546	Planetary Drive (2856)	1811.3784043249887
547	Robo Sparks (2926)	1810.8920683829106
548	automation nation (2960)	1810.6074655090583
549	Hemlock's Gray Matter (5712)	1808.4644370687545
550	Gator-Bots (1250)	1808.289300326073
551	Loose Wires (5639)	1807.883208333933
552	Space RAIDers (2537)	1807.0457016258479
553	Wolverine Robotics (949)	1806.116004310438
554	The Fembots (692)	1806.0244415444404
555	Rat Rod Robotics (5022)	1805.4016615086775
556	Sachem Aftershock (263)	1805.135170651468
557	The Gearheads (102)	1804.859087161632
558	Demon Robotics (4342)	1804.7485662642189
559	Galaxia (5987)	1804.482923212444
560	Team 0xBE4 (3044)	1804.3939056507684
561	RoboTigers (1796)	1804.2292893339675
562	Dawgma (1712)	1804.1834174910334
563	Blue Devil Mechanics (2815)	1803.717344792629
564	Newman Robotics (4618)	1803.520036924746
565	Mechanized Mustangs (3868)	1802.8810136200734
566	VIKotics (5920)	1802.8193072152505
567	Tech Vikes (2054)	1802.481088734907
568	Retrobotics (3223)	1800.9272451297304
569	RATCHET (5571)	1800.8507982547765
570	TechTigers (1251)	1799.884431701149
571	The Dirty Mechanics (3932)	1798.9372815917563
572	Crimson Robotics (2526)	1798.2294896594983
573	Top Gun (1294)	1796.7957302850346
574	The T.E.S.T. Team (303)	1796.6810058826256
575	Sumdroids (3581)	1796.4473682853936
576	Tractor Technicians (3655)	1794.0750408531808
577	Wild Robotocats (3787)	1793.6311224597919
578	The Fellowship of the Springs (4264)	1793.2725464132404
579	The Poros (5554)	1793.013088868297
580	Toaster Tech (5332)	1792.5014344224505
581	Vitruvian Bots (4201)	1791.856803027743
582	Eugenio (4635)	1790.0683378446759
583	Hotwire (2990)	1789.567646546416
584	Biohazard (4050)	1788.9852728061226
585	SUITS (3951)	1788.6261475209417
586	Redshift (4048)	1788.249851632386
587	Clockwork Oranges (4322)	1788.0547790917767
588	Prototype (5449)	1787.3260918239037
589	Space Cookies (1868)	1787.2539910348207
590	Truck Town Thunder (68)	1786.741342077388
591	Team Mercury (1089)	1786.6128202433006
592	Steiner Steel Storm (5067)	1786.4554356584777
593	Gryffingear (5012)	1785.32141156646
594	Palindrome Robotics (4954)	1785.2944787471108
595	Lancer Robotics (2367)	1783.6837852628605
596	Mechanical Mules (884)	1783.3501251716507
597	'Iobotics (2438)	1783.1428159141556
598	The Hitchhikers (2059)	1782.9006642771765
599	Tiger Tech  (5624)	1782.288979683831
600	E-Ville Empire (5216)	1782.1181200516362
601	Artisan Rockets (4454)	1781.7111709404137
602	Droide (5865)	1781.2596646245017
603	IMPIS (1025)	1781.0656181574727
604	Panther Power (5224)	1780.663369184031
605	STING - R (5098)	1780.4353446225878
606	M3 Mighty Mechanical Mustangs (4592)	1780.0362225122758
607	ROBOTA (5814)	1779.0312815139953
608	Hurricanes (5325)	1778.7768015031643
609	Avis Automata (5826)	1778.7386493321967
610	Firehawk Robotics (6000)	1778.4006470006518
611	Devilbotz (2876)	1778.1147639277426
612	Warrior Robotics (3676)	1777.8567911416217
613	hand by hand (6149)	1777.221424450106
614	SpartaBot (5045)	1776.2998534917842
